subject,method,band,window,car,accuracy,kappa,fold_accuracy_std
A04,CSP+SVM,8-30Hz,0.5-3.5s,True,0.4548611111111111,0.2731481481481481,0.0609356683771782
A04,FBCSP+LDA,8-30Hz,0.5-3.5s,True,0.4548611111111111,0.2731481481481481,0.0431918199175273
A04,CSP+SVM,8-30Hz,0.5-4.0s,False,0.3506944444444444,0.1342592592592593,0.0750496573713937
A04,FBCSP+LDA,8-30Hz,0.5-4.0s,False,0.375,0.1666666666666666,0.0285664456157264
A04,CSP+SVM,8-30Hz,0.5-4.0s,True,0.3819444444444444,0.1759259259259259,0.07795091459352
A04,FBCSP+LDA,8-30Hz,0.5-4.0s,True,0.28125,0.0416666666666666,0.0638291141175523
A04,CSP+SVM,8-30Hz,1.0-4.0s,False,0.3680555555555556,0.1574074074074074,0.0664925818010826
A04,FBCSP+LDA,8-30Hz,1.0-4.0s,False,0.3055555555555556,0.074074074074074,0.0533624014030877
A04,CSP+SVM,8-30Hz,1.0-4.0s,True,0.3576388888888889,0.1435185185185185,0.0583868858854384
A04,FBCSP+LDA,8-30Hz,1.0-4.0s,True,0.3055555555555556,0.074074074074074,0.0556595385622332
A04,CSP+SVM,7-35Hz,0.5-2.5s,False,0.4826388888888889,0.3101851851851852,0.0521764468451928
A04,FBCSP+LDA,7-35Hz,0.5-2.5s,False,0.4826388888888889,0.3101851851851852,0.0725949284121287
A04,CSP+SVM,7-35Hz,0.5-2.5s,True,0.4548611111111111,0.2731481481481481,0.0547763749271579
A04,FBCSP+LDA,7-35Hz,0.5-2.5s,True,0.4895833333333333,0.3194444444444444,0.070613865027354
A04,CSP+SVM,7-35Hz,0.5-3.5s,False,0.4652777777777778,0.2870370370370371,0.0211430078543655
A04,FBCSP+LDA,7-35Hz,0.5-3.5s,False,0.4513888888888889,0.2685185185185185,0.0648992273485773
A04,CSP+SVM,7-35Hz,0.5-3.5s,True,0.4652777777777778,0.2870370370370371,0.0251756695533259
A04,FBCSP+LDA,7-35Hz,0.5-3.5s,True,0.4409722222222222,0.2546296296296296,0.0661460253563826
A04,CSP+SVM,7-35Hz,0.5-4.0s,False,0.3715277777777778,0.1620370370370371,0.0790514874350941
A04,FBCSP+LDA,7-35Hz,0.5-4.0s,False,0.3472222222222222,0.1296296296296296,0.0722254138970944
A04,CSP+SVM,7-35Hz,0.5-4.0s,True,0.4027777777777778,0.2037037037037037,0.0808101572873847
A04,FBCSP+LDA,7-35Hz,0.5-4.0s,True,0.3090277777777778,0.0787037037037037,0.0564854476725275
A04,CSP+SVM,7-35Hz,1.0-4.0s,False,0.3541666666666667,0.1388888888888888,0.0533879083268805
A04,FBCSP+LDA,7-35Hz,1.0-4.0s,False,0.3298611111111111,0.1064814814814815,0.0857431407911631
A04,CSP+SVM,7-35Hz,1.0-4.0s,True,0.375,0.1666666666666666,0.0754399791072115
A04,FBCSP+LDA,7-35Hz,1.0-4.0s,True,0.34375,0.125,0.0673979954867691
A04,CSP+SVM,4-40Hz,0.5-2.5s,False,0.4479166666666667,0.2638888888888888,0.0390872017843484
A04,FBCSP+LDA,4-40Hz,0.5-2.5s,False,0.4236111111111111,0.2314814814814815,0.0426209287810693
A04,CSP+SVM,4-40Hz,0.5-2.5s,True,0.4479166666666667,0.2638888888888888,0.0520985307531258
A04,FBCSP+LDA,4-40Hz,0.5-2.5s,True,0.4375,0.25,0.0525677064083679
A04,CSP+SVM,4-40Hz,0.5-3.5s,False,0.4861111111111111,0.3148148148148147,0.0459147220297818
A04,FBCSP+LDA,4-40Hz,0.5-3.5s,False,0.3923611111111111,0.1898148148148147,0.0517755870675542
A04,CSP+SVM,4-40Hz,0.5-3.5s,True,0.4965277777777778,0.3287037037037037,0.0422696549532428
A04,FBCSP+LDA,4-40Hz,0.5-3.5s,True,0.4166666666666667,0.2222222222222222,0.0370458279913316
A04,CSP+SVM,4-40Hz,0.5-4.0s,False,0.3680555555555556,0.1574074074074074,0.0723358441419438
A04,FBCSP+LDA,4-40Hz,0.5-4.0s,False,0.3263888888888889,0.1018518518518518,0.0796656727308695
A04,CSP+SVM,4-40Hz,0.5-4.0s,True,0.3611111111111111,0.1481481481481481,0.0872840234190375
A04,FBCSP+LDA,4-40Hz,0.5-4.0s,True,0.3298611111111111,0.1064814814814815,0.0725255260754823
A04,CSP+SVM,4-40Hz,1.0-4.0s,False,0.3368055555555556,0.1157407407407407,0.0526830102436224
A04,FBCSP+LDA,4-40Hz,1.0-4.0s,False,0.3472222222222222,0.1296296296296296,0.0237329705391986
A04,CSP+SVM,4-40Hz,1.0-4.0s,True,0.3472222222222222,0.1296296296296296,0.0555537073388344
A04,FBCSP+LDA,4-40Hz,1.0-4.0s,True,0.3055555555555556,0.074074074074074,0.0648120436965337
A05,CSP+SVM,8-30Hz,0.5-2.5s,False,0.4930555555555556,0.324074074074074,0.0715894730739199
A05,FBCSP+LDA,8-30Hz,0.5-2.5s,False,0.5277777777777778,0.3703703703703703,0.0850675390041398
A05,CSP+SVM,8-30Hz,0.5-2.5s,True,0.4652777777777778,0.2870370370370371,0.0641162430480026
A05,FBCSP+LDA,8-30Hz,0.5-2.5s,True,0.4826388888888889,0.3101851851851852,0.0991542177207088
A05,CSP+SVM,8-30Hz,0.5-3.5s,False,0.4548611111111111,0.2731481481481481,0.0478685624853427
A05,FBCSP+LDA,8-30Hz,0.5-3.5s,False,0.4965277777777778,0.3287037037037037,0.0250964639563734
A05,CSP+SVM,8-30Hz,0.5-3.5s,True,0.46875,0.2916666666666666,0.0306217685639799
A05,FBCSP+LDA,8-30Hz,0.5-3.5s,True,0.4861111111111111,0.3148148148148147,0.0350567274523653
A05,CSP+SVM,8-30Hz,0.5-4.0s,False,0.4444444444444444,0.2592592592592593,0.0411362584822859
